открытие 14.09.2018;максимум 14.09.2018;минимум 14.09.2018;закрытие 14.09.2018;открытие 16.10.2018;максимум 16.10.2018;минимум 16.10.2018;закрытие 16.10.2018;открытие 14.11.2018;максимум 14.11.2018;минимум 14.11.2018;закрытие 14.11.2018;открытие 14.12.2018;максимум 14.12.2018;минимум 14.12.2018;закрытие 14.12.2018
107350;107360;107300;107300;115000;115050;115000;115040;109710;109710;109660;109680;111340;111380;111300;111320
107320;107320;107310;107310;115030;115050;115000;115000;109670;109760;109650;109750;111310;111320;111270;111290
107310;107310;107180;107180;115000;115000;114950;114970;109750;109760;109640;109670;111300;111310;111180;111260
107150;107200;107150;107200;114960;114970;114890;114890;109660;109670;109610;109650;111260;111300;111200;111260
107200;107220;107200;107220;114890;114970;114890;114960;109650;109670;109620;109660;111260;111280;111190;111190
107230;107240;107210;107220;114940;115040;114940;114980;109660;109660;109520;109580;111190;111250;111160;111240
107200;107200;107200;107200;114970;115000;114960;114990;109570;109580;109550;109580;111240;111270;111220;111260
107260;107280;107200;107200;115000;115020;114980;114990;109570;109600;109540;109590;111260;111280;111140;111210
107200;107200;107200;107200;115000;115010;114970;115000;109580;109660;109580;109630;111210;111230;111170;111210
107190;107190;107190;107190;115000;115040;114990;115000;109630;109720;109620;109710;111210;111300;111200;111300
107250;107260;107250;107260;115000;115010;114960;114970;109690;109710;109660;109670;111290;111450;111290;111440
107260;107260;107220;107220;114960;114960;114930;114940;109660;109680;109630;109630;111440;111560;111430;111510
107200;107200;107120;107160;114950;115000;114950;114990;109640;109670;109590;109600;111510;111520;111420;111500
107170;107180;107170;107180;115000;115010;114960;114990;109600;109740;109590;109700;111500;111540;111460;111490
107110;107180;107100;107180;114980;115050;114960;114970;109710;109810;109640;109650;111490;111510;111450;111490
107230;107230;107230;107230;114970;114980;114900;114920;109650;109720;109630;109650;111500;111520;111460;111510
107230;107260;107230;107260;114930;114940;114900;114920;109650;109660;109600;109620;111490;111510;111420;111480
107300;107310;107300;107310;114900;114930;114900;114930;109610;109750;109610;109750;111480;111480;111430;111470
107320;107390;107270;107390;114920;114950;114900;114910;109750;109780;109640;109660;111450;111490;111410;111410
107390;107410;107320;107320;114910;114940;114810;114820;109660;109720;109630;109660;111430;111470;111400;111440
107330;107350;107300;107320;114820;114870;114800;114860;109650;109650;109560;109610;111430;111460;111380;111400
107300;107310;107300;107310;114870;114870;114800;114830;109610;109650;109580;109650;111390;111400;111320;111380
107310;107320;107280;107320;114820;114820;114770;114800;109650;109650;109560;109620;111370;111370;111280;111290
107370;107400;107370;107400;114800;114860;114780;114830;109620;109640;109600;109620;111280;111330;111280;111290
107450;107890;107450;107610;114820;114830;114710;114770;109620;109660;109540;109570;111290;111360;111260;111360
107640;107750;107610;107690;114750;114810;114740;114760;109570;109580;109530;109540;111360;111400;111340;111400
107740;108100;107740;108090;114760;114800;114740;114770;109540;109610;109540;109560;111390;111400;111330;111330
108060;108370;108060;108120;114760;114790;114750;114790;109570;109590;109530;109560;111330;111380;111330;111360
108100;108120;107980;108120;114770;114810;114770;114800;109550;109570;109460;109510;111360;111360;111280;111280
108120;108210;108120;108210;114800;114840;114790;114830;109490;109510;109410;109440;111290;111370;111280;111360
108240;108330;108080;108080;114830;114850;114820;114840;109440;109500;109440;109490;111360;111390;111330;111350
108080;108160;108070;108160;114840;114850;114800;114810;109480;109500;109440;109470;111350;111360;111300;111350
108140;108280;108140;108280;114820;114880;114810;114850;109470;109500;109440;109470;111340;111370;111320;111330
108300;108400;108270;108330;114850;114930;114850;114900;109450;109700;109440;109640;111330;111410;111320;111380
108330;108330;108200;108270;114900;114910;114870;114900;109630;109650;109570;109630;111380;111390;111340;111340
108170;108170;108150;108150;114890;114970;114890;114920;109620;109670;109600;109610;111360;111380;111330;111360
108200;108210;108160;108210;114920;114930;114910;114930;109620;109620;109590;109610;111360;111420;111360;111410
